,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BeiJing,1.014468736,1.001648149,1.049139198,0.969322413,0.945509357,0.943831591,0.9271402,0.819693073,0.769288246,0.739678186
TianJing,1.92203911,1.76066925,1.87757549,1.866363971,1.833871573,1.874976544,1.804712681,1.691211674,1.447449566,0.917538717
HeBei,1.403579947,1.399408081,1.550874119,1.639803131,1.642288752,1.609054265,1.604551828,1.531501427,1.475457937,1.525752933
ShanXi,1.384833365,1.242088197,1.381664323,1.495335727,1.495846966,1.453161209,1.394909215,1.181842464,1.069468316,1.149659785
NeiMengGu,0.996951578,1.068776469,1.147003941,1.221623718,1.141970339,1.155725274,1.100526291,1.061357748,1.092111142,0.868722513
LiaoNing,1.635539317,1.832053793,1.953138249,1.927654578,1.939912494,1.893689905,1.704765292,1.15955497,0.990654878,1.002868953
JiLin,1.263467733,1.331364589,1.459154689,1.584415683,1.661377106,1.682511651,1.688946863,1.587268268,1.574650804,1.549884807
HeiLongJiang,0.98773088,0.900167695,0.954722913,0.910395804,0.914879072,0.938768495,0.891465818,0.776934924,0.725752937,0.638804208
ShangHai,1.852045436,1.689506827,1.869050296,1.786856841,1.68946403,1.5827891,1.50518833,1.360172269,1.201061797,1.237570998
JiangSu,2.14582283,2.081558915,2.198584301,2.17938305,2.206635365,2.235956064,2.180974866,2.097576201,2.023446444,1.803893478
Zhejiang,1.846488022,1.734361156,1.822947294,1.712615393,0.361323259,1.623710887,1.602356855,1.473993558,1.38522743,1.295793987
AnHui,1.240495003,1.270734247,1.4697075,1.631313702,1.679350744,1.720260029,1.766934432,1.775200256,1.728579026,1.606636317
FuJian,1.368950967,1.335232292,1.457501194,1.529081706,1.482446764,1.514100882,1.542143753,1.523924338,1.476445111,1.491646441
JiangXi,1.188048185,1.282028182,1.502093901,1.57798035,1.719657607,1.852870781,1.947046797,1.940913478,1.920030812,1.778693822
ShanDong,2.005419083,2.089472854,2.13589918,2.199342399,2.361112948,2.392351308,2.408690613,2.311483787,2.214514361,1.964092671
HeNan,1.403667225,1.449999127,1.56602097,1.769230883,1.766135089,1.863085994,1.947363977,1.982748034,1.968214156,1.80921616
HuBei,1.154734961,1.18289497,1.324654097,1.379457587,1.452822302,1.527299114,1.512150223,1.461216077,1.403646307,1.226988262
HuNan,0.976671571,1.001346127,1.164100048,1.307919953,1.255891683,1.293764801,1.2386375,1.225181231,1.214346001,1.164025206
GuangDong,1.722209676,1.674607979,1.828064684,1.747723936,1.644036505,1.702466067,1.702571677,1.636501675,1.597321795,1.511603058
GuangXi,0.807433414,0.844771857,0.965098722,1.042317678,1.130304198,1.157516341,1.206974975,1.216589538,1.199848889,1.304862103
HaiNan,0.717077163,0.610164368,0.640750787,0.635658392,0.594318413,0.492343182,0.501893896,0.448778749,0.411753676,0.410416489
ChongQing,0.978243459,0.867932821,1.140488141,1.136941298,1.128901977,1.206035863,1.310324205,1.329889987,1.322787461,1.098249499
SiChuan,1.133732977,1.235676914,1.341994521,1.421427919,1.316442143,1.352153886,1.333858623,1.28592092,1.260963414,1.147191661
GuiZhou,0.820525275,0.826694235,0.853079858,0.880787605,0.870745162,0.90980059,0.93411458,0.940419288,0.948687794,0.818687156
YunNan,0.871576847,0.805231979,0.879856261,0.857056916,0.867372426,0.848541832,0.808314585,0.721753969,0.68628224,0.736306159
XiZang,0.114480436,0.110740439,0.11766287,0.119885116,0.131064291,11.44703127,0.127212378,0.132873225,0.149228337,0.1639917
ShannXi,0.949457112,1.002291366,1.07559851,1.102125109,1.129694998,1.096112728,1.052696617,1.044454294,1.036652836,1.054015264
GanSu,1.184923677,0.989237091,1.249384214,1.308419499,1.378226354,1.333764078,1.356637871,1.279670261,1.07098663,1.137763313
QingHai,1.02583888,1.010210216,1.129329177,1.031345035,0.997797776,0.963865301,0.97538336,0.898061687,0.872490661,0.798070732
NingXia,1.108204864,1.027177808,1.112650549,1.153880916,1.273426188,1.309174921,1.281388758,1.192660341,1.147545123,1.18586579
XinJiang,1.06118029,0.935546697,1.010140746,1.02605124,1.000714161,1.019444944,1.0051642,0.879775438,0.860229852,0.897705928
